O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
11-1011,4.5,4.4399999999999995,4.3149999999999995,4.5,3.37,1.5,4.4350000000000005,4.3149999999999995,3.815,4.75,4.0649999999999995,4.5,4.5,3.935,3.63,3.315,4.5600000000000005,3.685,0.935,0.435,0.0,0.8700000000000001,1.75,1.25,0.0,0.0,0.0,1.25,4.875,4.6899999999999995,4.5600000000000005,4.3149999999999995,4.3100000000000005,3.685,4.6899999999999995,-40350.0
11-1021,4.0,4.0,3.88,4.0,2.5,1.12,4.0,3.62,3.25,4.0,4.0,3.88,3.5,3.62,3.25,3.12,3.75,3.12,1.12,0.0,0.0,0.62,2.62,1.75,0.0,1.38,0.0,2.12,3.75,3.0,3.12,3.75,3.38,3.25,3.88,350410.0
11-2011,4.0,4.12,3.88,4.12,3.25,0.62,4.12,4.12,3.25,4.25,4.0,4.12,3.88,3.75,3.0,3.25,3.88,3.12,0.75,0.12,0.0,0.75,0.62,0.0,0.0,0.0,0.0,1.0,4.0,3.12,3.75,3.88,3.62,2.62,3.88,-4240.0
11-2021,4.25,4.12,3.88,4.12,3.12,1.5,4.25,4.12,3.5,4.25,4.0,3.75,4.38,3.88,3.5,3.25,3.88,3.62,0.88,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,1.38,4.0,3.75,3.75,3.75,3.75,2.75,3.88,79190.0
11-2022,4.0,4.0,4.0,4.12,3.25,0.62,4.0,3.88,3.75,4.75,4.12,4.12,4.38,3.88,3.62,3.88,3.88,2.88,0.88,0.0,0.0,0.88,1.75,1.25,0.0,0.0,0.0,1.38,4.0,3.75,3.88,3.88,3.62,3.0,4.0,43680.0
11-3021,4.0,4.0,4.0,3.88,3.12,1.38,4.0,3.88,3.5,4.38,3.75,3.88,3.5,3.25,3.88,3.12,3.88,3.38,2.0,2.0,0.0,2.62,2.88,1.62,0.62,2.5,0.75,3.0,3.75,3.5,3.88,3.75,3.38,3.12,3.75,103600.0
11-3031,4.25,4.12,4.0,4.12,3.62,0.25,4.0,4.0,3.38,4.5,3.62,3.62,3.75,3.5,3.12,3.0,3.88,2.5,0.62,0.0,0.0,1.0,1.12,0.12,0.0,0.0,0.0,0.75,4.25,3.75,3.75,4.0,3.38,2.12,3.75,136760.0
11-3051,4.0600000000000005,3.94,3.75,4.0,3.44,2.5,4.0,3.62,3.5,4.25,3.685,3.875,3.38,3.315,3.62,3.185,3.75,2.25,1.38,1.94,0.0,1.315,3.5,3.06,2.5,2.94,2.5,3.315,3.88,3.56,3.625,3.75,3.5,3.315,3.815,18590.0
11-3061,3.75,4.0,4.0,3.88,3.38,0.25,4.0,3.88,3.62,3.88,4.0,3.88,3.88,3.88,3.62,3.62,3.25,2.75,1.12,0.0,0.0,1.12,1.88,0.0,0.0,0.88,0.0,1.88,3.75,3.62,3.62,3.88,3.88,3.75,4.0,1260.0
11-3071,4.0,3.98,3.835,3.98,3.085,0.42000000000000004,4.04,3.705,3.315,4.125,3.775,4.0,3.6,3.665,3.25,3.165,3.75,2.67,1.085,0.085,0.0,0.73,2.085,0.915,0.0,0.94,0.04,1.79,3.815,3.605,3.775,3.94,3.165,3.46,3.835,26040.0
11-3111,4.0,4.12,4.0,4.0,2.88,0.25,4.0,3.75,3.0,3.38,3.62,3.62,3.25,3.12,3.12,3.12,3.25,3.12,0.75,0.0,0.0,0.62,1.12,0.0,0.0,0.0,0.0,0.75,4.0,3.88,3.88,3.88,3.62,2.0,3.5,520.0
11-3121,4.12,4.0,4.0,4.0,3.0,1.0,4.12,4.0,3.75,4.12,4.0,3.88,4.0,4.0,3.88,3.75,3.75,2.0,0.88,0.0,0.0,1.38,0.75,0.25,0.0,0.0,0.0,0.75,4.0,3.62,4.0,4.12,3.62,2.88,4.5,38190.0
11-3131,4.0,4.0,4.0,4.75,3.0,0.88,4.0,4.25,5.25,4.25,4.0,4.0,3.88,3.25,4.75,3.62,4.0,2.88,0.75,0.0,0.0,0.75,1.12,0.0,0.0,0.25,0.0,2.12,4.0,3.88,4.0,4.0,3.88,3.0,4.12,8640.0
11-9013,3.75,3.67,3.59,3.75,2.83,2.88,3.87,3.42,3.13,3.71,3.38,3.63,3.37,3.37,3.21,2.91,3.25,2.42,1.04,1.96,0.08,0.71,3.0,2.75,2.21,2.21,1.88,2.87,3.59,3.21,3.25,3.58,3.21,3.25,3.5,760.0
11-9021,4.12,4.12,3.88,4.12,3.62,1.75,4.12,3.88,3.12,4.25,3.62,4.12,3.75,3.88,3.38,2.88,4.0,3.5,0.75,0.0,0.0,0.5,3.0,1.75,0.0,2.0,0.0,3.12,4.25,3.62,3.88,4.0,4.0,3.88,4.25,65670.0
11-9031,4.12,4.0,4.0,4.0,2.88,0.75,4.0,3.88,3.88,4.12,3.88,4.0,3.5,3.62,3.88,4.0,3.5,1.0,0.75,0.0,0.0,0.62,1.5,0.62,0.0,0.88,0.0,1.75,3.88,3.12,3.38,3.88,3.25,3.12,4.0,5210.0
11-9032,4.62,4.5,4.38,4.38,3.25,1.38,4.38,4.12,4.62,4.75,4.25,4.12,4.0,3.88,4.12,3.88,4.25,2.38,0.75,0.12,0.0,0.75,0.75,0.12,0.0,0.62,0.0,3.0,4.38,3.88,4.25,4.12,4.0,3.25,4.38,39220.0
11-9033,4.62,4.25,4.25,4.25,3.12,0.5,4.25,4.0,4.0,4.25,4.0,4.0,3.75,3.75,4.0,3.88,4.0,0.88,0.75,0.0,0.0,0.5,1.38,0.0,0.0,0.0,0.0,0.5,4.0,3.75,3.75,4.0,3.12,3.5,4.0,13810.0
11-9041,4.3149999999999995,3.81,4.0,3.75,3.685,2.875,4.1850000000000005,3.815,3.185,3.94,3.37,3.75,3.565,3.63,3.5,3.065,4.0649999999999995,2.25,1.685,1.06,0.19,1.25,2.81,1.435,0.75,1.81,0.625,3.06,4.0649999999999995,3.56,3.375,3.75,2.565,2.44,3.63,14930.0
11-9051,3.62,3.5,3.12,3.62,2.88,1.12,3.75,3.75,3.25,3.88,3.75,3.75,3.12,3.5,3.38,3.62,3.0,2.38,0.38,0.88,0.0,0.62,2.25,1.75,1.12,1.5,0.88,2.25,2.88,2.62,2.5,3.75,3.0,3.0,3.75,36860.0
11-9071,4.0,3.88,3.75,4.0,3.12,0.75,4.0,3.62,3.62,4.12,3.75,4.12,3.75,3.5,3.75,3.75,3.25,2.0,0.38,0.0,0.0,0.62,1.62,0.12,0.0,0.75,0.0,2.38,3.88,3.12,3.38,4.0,3.0,2.25,3.88,580.0
11-9081,3.88,4.0,4.0,4.0,2.88,0.0,3.88,3.88,3.62,3.75,3.88,3.75,4.0,4.0,3.75,4.12,3.25,1.0,1.0,0.75,0.0,0.88,2.12,2.0,0.75,1.5,0.75,2.38,3.75,3.0,3.5,3.88,3.5,3.62,4.0,6600.0
11-9111,4.12,4.0,4.0,4.0,2.88,3.12,4.0,4.0,3.75,4.0,4.0,4.25,3.5,3.38,3.5,3.5,3.38,3.88,1.12,0.0,0.0,1.0,1.62,0.0,0.0,0.25,0.0,1.38,4.0,3.25,3.5,4.0,4.0,3.62,3.88,84590.0
11-9121,4.25,4.0,4.0,4.0,3.75,3.25,4.0,4.0,3.38,3.75,3.75,4.0,3.5,3.12,3.25,3.0,4.12,2.62,1.62,0.12,0.0,1.5,2.12,1.5,0.0,1.12,0.0,2.0,3.88,3.88,3.88,3.88,2.62,2.75,3.5,14430.0
11-9131,3.88,3.38,3.75,4.0,2.5,0.5,3.88,3.12,3.25,3.62,3.5,3.5,3.5,3.25,3.25,3.12,3.12,2.12,1.12,0.0,0.0,0.88,2.25,1.25,0.0,1.5,0.0,1.88,3.12,3.0,3.0,3.88,2.75,2.75,3.5,-4080.0
11-9141,4.0,4.0,4.0,4.0,3.0,0.5,3.88,3.12,3.12,3.12,3.38,3.75,3.5,3.75,3.12,3.0,3.12,1.88,0.25,0.12,0.0,0.5,0.88,0.5,0.0,0.62,0.0,2.0,3.38,2.12,2.12,3.5,3.0,2.88,3.12,49610.0
11-9151,4.12,4.25,4.0,4.12,3.12,2.0,4.12,3.88,3.75,4.0,4.62,4.0,3.75,3.75,3.88,4.0,4.12,3.38,1.12,0.0,0.0,0.88,2.25,1.62,0.0,0.75,0.0,1.62,4.12,3.75,3.88,4.0,3.12,2.38,4.38,39790.0
11-9161,4.25,4.0,4.25,4.25,3.12,1.62,4.38,4.38,3.88,4.38,3.88,4.88,3.88,3.5,3.75,5.0,5.25,3.25,0.62,0.0,0.0,0.62,1.88,1.62,0.0,1.0,0.0,2.62,4.25,4.12,4.0,3.88,2.75,2.88,3.62,290.0
13-1011,4.0,4.0,3.88,4.0,2.0,0.62,3.75,3.5,2.75,3.0,3.5,3.75,4.12,4.0,2.88,3.38,3.38,1.25,0.38,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,3.75,2.5,2.5,3.38,1.62,0.75,3.12,5200.0
13-1031,4.06,3.94,3.75,3.88,3.06,0.44,4.0,3.31,2.56,3.12,3.19,3.0,3.19,3.69,2.5,3.19,3.06,0.75,0.56,0.0,0.0,0.62,1.69,0.12,0.0,1.0,0.0,1.81,3.62,2.44,2.44,2.94,2.19,1.56,2.25,21680.0
13-1032,3.62,3.88,3.25,3.75,2.75,0.25,3.75,3.0,1.5,2.88,3.0,2.88,2.88,2.88,2.0,3.0,2.88,1.38,0.5,0.62,0.0,0.5,2.25,2.0,0.75,1.5,0.88,2.25,3.12,2.12,2.38,3.0,1.62,0.88,2.12,60.0
